layer_name,family,side,block,d_in,mean_act_salience,max_act_salience,mean_wt_salience,max_wt_salience,top1_median_ratio_act,top1_median_ratio_wt,gini_act,gini_wt,mean_spearman_rho,std_spearman_rho,min_spearman_rho,max_spearman_rho,mean_jaccard_topk,cov_temporal,early_late_topk_jaccard,risk_score
blocks.1.text.attn.k_proj,k_proj,text,1,1536,0.5179790258407593,8.333427429199219,0.12088028341531754,0.56591796875,16.63281880106245,5.15971040725708,0.41851818330402485,0.15235312937684276,0.14548540870181018,0.04235487061337564,0.10169143828199048,0.3167678696018045,0.07586105081235053,0.2657928764820099,0.28,0.26969273766676527
blocks.14.text.mlp.fc1,fc1,text,14,1536,5.049638748168945,19.340341567993164,0.23075079917907715,1.2197265625,3.298792234488896,5.875918865203857,0.14374390380913457,0.15134370091979532,0.22321867734405437,0.019739455767605496,0.17928407923253867,0.2556365695411424,0.05623851202789364,0.12880964577198029,0.0847457627118644,0.268172852645896
blocks.14.image.attn.q_proj,q_proj,image,14,1536,1.906494379043579,21.523813247680664,0.21191704273223877,1.6455078125,7.513151219912937,8.874258995056152,0.16689275048240287,0.16002275029136603,0.013734207057285492,0.13380647045518929,-0.12600496623644525,0.27656439879623584,0.1227217245752772,0.13264212012290955,0.4883720930232558,0.2681510941202883
blocks.0.text.attn.o_proj,o_proj,text,0,1536,1.2561639547348022,9.089035987854004,0.15394242107868195,0.416259765625,7.275777510234287,2.972972869873047,0.3018358477033235,0.135605209697095,0.31519113311064645,0.040876939557761394,0.17880746268743775,0.35350452085504946,0.1321738677011868,0.22796587646007538,0.03225806451612903,0.2681287295834994
blocks.5.text.attn.k_proj,k_proj,text,5,1536,0.9173108339309692,6.686221122741699,0.18467958271503448,0.321044921875,6.054206643785749,1.7521651983261108,0.30323082237250987,0.06833892179675405,0.3526604920556207,0.027970715851506865,0.29907800033600906,0.3948202955565661,0.05981820346921763,0.23054592311382294,0.2549019607843137,0.26739525671178355
blocks.1.image.mlp.fc2,fc2,image,1,6144,1.3863714933395386,8.122135162353516,0.16052712500095367,0.65283203125,5.527312023299081,4.412541389465332,0.2207931347827136,0.13182314079390056,0.40333969065922753,0.07769068550348561,0.1741832388880071,0.4604004205901705,0.04449363458900158,0.1610678881406784,0.06666666666666667,0.2665729293444985
blocks.0.text.attn.q_proj,q_proj,text,0,1536,0.7854687571525574,7.497980117797852,0.14487726986408234,0.308349609375,9.684164762496948,2.1822893619537354,0.3867986266923394,0.08014956438208509,0.1833383912084561,0.01673076808491452,0.1551393425499843,0.23381528946370575,0.18084105886401938,0.2859223783016205,0.28,0.26636095470184545
blocks.4.image.mlp.fc1,fc1,image,4,1536,0.9229399561882019,6.13088846206665,0.23940794169902802,1.07421875,5.546240380832127,4.767064094543457,0.18163000536349783,0.1110126334037107,0.03310616297980095,0.12090791695056917,-0.12061962652724054,0.19726572949965598,0.02429127829520667,0.22243617475032806,0.04918032786885246,0.26632215005777526
blocks.3.image.attn.k_proj,k_proj,image,3,1536,1.2722750902175903,13.437095642089844,0.18166489899158478,0.75048828125,10.863636289324079,4.610423564910889,0.30644228372514526,0.17237555186439124,0.10295215913145904,0.03746335997061242,0.012645112062138038,0.14158943759199472,0.27296508153333904,0.23859767615795135,0.3617021276595745,0.26518663819184063
blocks.0.text.attn.v_proj,v_proj,text,0,1536,0.7854687571525574,7.497980117797852,0.17213277518749237,0.4033203125,9.684164762496948,2.4583332538604736,0.3867986266923394,0.1989620452598857,0.12876732959983556,0.04694554658737394,0.0777752397393117,0.3353666111654317,0.03003342003115365,0.2859223783016205,0.28,0.26438347333185663
blocks.4.image.attn.o_proj,o_proj,image,4,1536,2.6147823333740234,8.153895378112793,0.18492789566516876,0.414306640625,2.4718780517578125,2.3406896591186523,0.19924255314868264,0.10158988582330242,0.25914862461952504,0.045306296414207206,0.1383749144530129,0.3199893500443712,0.03711467239144361,0.23915664851665497,0.0,0.26379590259744773
blocks.2.text.attn.v_proj,v_proj,text,2,1536,0.7877578735351562,6.723284721374512,0.1706119328737259,0.33837890625,8.828869530132838,1.9590106010437012,0.3180553331531485,0.1006189216560811,0.44903439826696295,0.027080791712950088,0.36747244529809864,0.4768627380686548,0.04378036072528783,0.18792808055877686,0.28,0.26339120859590437
blocks.5.image.mlp.fc2,fc2,image,5,6144,1.6608185768127441,7.512659549713135,0.18763506412506104,0.80029296875,3.9512948223522733,4.559109687805176,0.18328384325949282,0.12576284041406716,0.19371532769020008,0.09350769705596067,-0.02088530030499625,0.28464923226507505,0.008595735138758482,0.1978285163640976,0.04918032786885246,0.2608205840685855
blocks.23.image.mlp.fc2,fc2,image,23,6144,1.0343152284622192,6.1650543212890625,0.14744247496128082,0.6474609375,6.109524309635162,4.687582969665527,0.23997463486529805,0.1465021899259955,-0.07195559025636948,0.030958862429380285,-0.10829518949613746,0.04481007144377386,0.0022858605807914564,0.3059474527835846,0.4883720930232558,0.2586404137286485
blocks.2.image.mlp.fc2,fc2,image,2,6144,1.5933934450149536,8.65522289276123,0.17557279765605927,0.5986328125,5.183402878897531,3.629903793334961,0.23172476156136673,0.12994193086908257,0.10726806608903243,0.12932564235343166,-0.2070964434193756,0.22554954170863206,0.014160135385384359,0.2508365213871002,0.0,0.2583804281584964
blocks.9.image.attn.q_proj,q_proj,image,9,1536,1.6071537733078003,11.193201065063477,0.18887877464294434,0.73046875,5.705732669149127,3.926509141921997,0.19218735652821817,0.07960561729568716,0.32608252136803567,0.017990083438076582,0.2696792675762802,0.3465529819239775,0.2011580313467106,0.15587855875492096,0.45454545454545453,0.2583210748108544
blocks.19.image.mlp.fc2,fc2,image,19,6144,1.1682487726211548,5.136288642883301,0.16454140841960907,0.74169921875,4.077887211527143,4.71373176574707,0.22623218822380928,0.10735109741734283,-0.03330835834749942,0.05844058172691374,-0.11537345148657367,0.06664095859360286,0.00749942141496119,0.27851465344429016,0.015873015873015872,0.25791492957829654
blocks.17.image.attn.q_proj,q_proj,image,17,1536,2.2571094036102295,23.820348739624023,0.17039616405963898,0.7802734375,11.15989054952349,4.795198917388916,0.17167726321420798,0.09998514896977961,0.33583163025812585,0.02626618270073221,0.2906515752469072,0.3781794977070481,0.15937607366178794,0.1299060732126236,0.45454545454545453,0.25656061530721785
blocks.6.text.attn.v_proj,v_proj,text,6,1536,1.1058194637298584,6.6025285720825195,0.18381543457508087,0.343994140625,5.225181153842381,1.8774150609970093,0.25145297065578526,0.06594068932893182,0.3679277711346644,0.027448489840745893,0.2618509787388927,0.39041863673399263,0.048635438663390616,0.198727086186409,0.20754716981132076,0.25561838776193635
blocks.16.image.mlp.fc2,fc2,image,16,6144,1.078263282775879,4.053080081939697,0.1704534888267517,0.83935546875,3.139823888029371,5.131343364715576,0.20313015973889362,0.10461936603503497,0.006972236621679956,0.045392710204224244,-0.05372554327282143,0.13964979488805596,0.0029478458049886623,0.2459854930639267,0.0,0.2551285347578342
blocks.2.text.attn.k_proj,k_proj,text,2,1536,0.7877578735351562,6.723284721374512,0.17360921204090118,0.377197265625,8.828869530132838,2.2071428298950195,0.3180553331531485,0.08260181974989678,0.37992869180488736,0.01764534037837594,0.34550525769197227,0.40307115653684106,0.06044271556913957,0.18792808055877686,0.28,0.2547485154113842
blocks.1.text.attn.q_proj,q_proj,text,1,1536,0.5179790258407593,8.333427429199219,0.12047604471445084,0.283447265625,16.63281880106245,2.4403574466705322,0.41851818330402485,0.09545503215064799,0.1802003848063374,0.02877151574489839,0.16024940625320067,0.3115362835379759,0.13139992839240958,0.2657928764820099,0.28,0.2542147628175368
blocks.16.text.attn.o_proj,o_proj,text,16,1536,2.0171284675598145,8.00540828704834,0.25396594405174255,0.763671875,3.6411610330854143,3.427945137023926,0.201707777886675,0.19108577685016148,0.2063639027476222,0.08233060746380386,0.0816016244626971,0.33919896249616316,0.05010721835723148,0.1844068318605423,0.10344827586206896,0.2536506878927233
blocks.2.text.attn.q_proj,q_proj,text,2,1536,0.7877578735351562,6.723284721374512,0.16441746056079865,0.338134765625,8.828869530132838,2.0953102111816406,0.3180553331531485,0.07942954655077972,0.3886121303316171,0.01754200185807527,0.35933484308605806,0.4132288656737576,0.14322044350563926,0.18792808055877686,0.28,0.2532580628573925
blocks.5.text.attn.q_proj,q_proj,text,5,1536,0.9173108339309692,6.686221122741699,0.16535623371601105,0.290771484375,6.054206643785749,1.7736411094665527,0.30323082237250987,0.06372069901817357,0.28177251475223014,0.020357732681319178,0.20399364456939742,0.29669267606198235,0.03650781659393882,0.23054592311382294,0.2549019607843137,0.25324688861746936
blocks.14.text.attn.o_proj,o_proj,text,14,1536,2.9942288398742676,16.403417587280273,0.25372958183288574,1.0703125,5.422378557068961,4.688769817352295,0.24085974719228678,0.16738995908717236,0.1493862671481541,0.006280957279589341,0.13350964201647933,0.16102041613509352,0.03379404291242321,0.1485268622636795,0.4883720930232558,0.2531012442204066
